global_idx,mae_MMK,mse_MMK,mae_iTransformer,mse_iTransformer
0,9.807079,291.213837,24.204676,702.467224
1,9.686379,288.972992,23.129404,636.503052
2,9.647809,290.798676,22.848791,625.661011
3,9.329289,279.708344,22.438059,609.035156
4,9.506427,283.348572,22.980888,635.152283
5,9.566306,277.735565,23.878637,683.709961
6,9.696614,281.974030,24.773071,748.103333
7,9.746709,283.483154,25.412308,781.424255
8,9.795527,291.775421,25.529810,795.996765
9,9.568168,284.742584,24.647337,737.903259
10,10.202502,331.297974,24.214041,716.908997
11,10.478072,356.744751,24.009935,725.906799
12,9.327691,272.525360,24.693817,746.276672
13,9.963582,296.837158,25.746063,822.643250
14,9.511067,284.937469,27.922709,967.431580
15,9.839130,304.065094,29.355431,1104.147949
16,9.903815,304.940735,29.896677,1135.703979
17,9.871848,302.962189,28.463362,996.894226
18,10.229379,317.588379,27.322660,891.234680
19,10.476408,329.725677,27.149302,875.469788
20,10.124415,311.226349,25.707207,800.093750
21,10.051877,313.319946,24.924898,743.808899
22,10.684223,349.279175,23.384857,661.735657
23,10.530776,341.185272,23.329885,655.288391
24,10.472389,317.866821,24.231237,698.748535
25,10.863950,339.438873,22.975924,634.998230
26,10.057453,322.913147,21.970293,578.839661
27,9.871584,309.104462,22.009943,583.091492
28,10.514902,344.527191,22.311966,595.550415
29,10.028255,323.664581,23.012457,637.487000
30,10.174168,332.692017,24.596083,737.963074
31,10.504199,351.214691,24.879587,752.471191
32,11.476913,422.330658,25.190077,775.230286
33,12.113792,462.028229,25.219162,754.008301
34,9.985026,293.751068,23.367111,643.789978
35,7.879440,198.262619,22.798174,605.745911
36,8.004006,209.305923,22.995722,630.711914
37,8.077691,205.134888,23.855001,688.593323
38,8.088237,206.591019,25.579142,815.278137
39,8.413362,217.137833,28.081934,978.772888
40,8.318408,208.656143,28.683249,1037.182983
41,8.134877,215.172928,27.509554,919.573242
42,8.566941,215.949631,26.240021,830.170410
43,8.410113,217.564392,25.627607,775.332520
44,8.245013,212.212326,24.631369,723.264099
45,8.021086,200.413406,24.280237,726.717957
46,8.016354,208.837769,23.360899,656.752136
47,8.308080,227.037476,23.875895,691.833801
48,8.464601,220.290970,25.113098,761.295593
49,7.993659,198.830933,23.253746,662.388367
50,8.515082,211.237411,22.506342,619.792786
51,8.343152,220.007019,21.985483,586.828674
52,8.482524,216.627640,21.256630,536.484680
53,8.532661,222.268677,21.853752,551.029724
54,8.809600,199.593338,22.173691,561.220703
55,8.363996,190.026794,23.032068,621.295593
56,7.740667,186.821411,22.994629,621.002869
57,8.206761,182.446091,21.999022,561.512756
58,7.703563,170.856400,22.054693,560.556702
59,7.869781,185.158371,22.408319,603.100830
60,8.686666,218.863724,22.472916,606.415710
61,8.397587,209.454910,23.878447,702.941833
62,7.952943,206.068665,24.837883,754.594788
63,7.761240,192.995605,26.287298,848.606140
64,8.145419,201.672348,26.257330,857.613464
65,8.141649,201.716751,26.230078,833.556458
66,8.003510,195.573975,25.318647,744.305237
67,7.884371,196.829178,24.039530,676.934143
68,8.246710,194.285721,23.308283,646.057617
69,8.111565,189.020218,22.950327,616.105896
70,8.008010,189.308273,22.089584,571.137329
71,8.270103,211.491776,22.405600,565.410156
72,8.178533,206.433548,22.365225,584.416565
73,8.065163,197.446228,21.738319,573.742371
74,8.378881,195.363693,21.288393,544.173035
75,8.355984,202.236374,21.164946,528.497192
76,8.451157,202.561356,21.451675,536.203613
77,8.583537,199.395340,21.601952,544.828003
78,8.302640,199.688553,22.446035,600.974731
79,8.403058,200.334717,23.114082,641.011658
80,8.365011,207.796875,22.458593,590.497009
81,8.763581,224.162521,22.134436,567.421875
82,9.345836,252.691269,22.202583,571.090759
83,9.724612,291.379669,21.997721,560.349182
84,8.583412,230.949966,21.833891,556.183350
85,8.889682,242.353806,23.174753,653.451111
